[02.12.07 15:22] q :  Albo duński dynamit :) . 
[01.12.07 0:16] rraptorr :  zapomniałeś dodać, że tabela z ignorowanymi wątkami zwiększy się o kilka wpisów 
[01.12.07 0:13] Mr_C :  Większość na forum będzie przeciwna tak drastycznej karze, kilka osób będzie chciała być kontrowersyjna i poprze karę śmierci. Zostaną poruszone kwestie fanatyzmu religijnego i tolerancji, obrażania, znajomości kultury, analogicznych sytuacji w innych wiarach itd. itp. i nic z tego nie wyniknie. 
[30.11.07, 23:49] ponton :  [link] <http://www.tvn24.pl/12691,1530554,wiadomosc.html> czy nadal uważacie, że dobrze jej tak? 
[30.11.07, 23:03] Paczesiowa :  nic nowego nie kazal robic. 
[30.11.07, 22:57] sahar :  Paczes na jego stronie nic nie ma. Oddawanie listy 8 bylo poprzednio 
[30.11.07, 22:06] kszana :  Przyznam się, że ograniczyłem się do Wiki. Dzięki. 
[30.11.07, 21:46] Marta :  "Kolejka dwustronna to taka, w której operacje wkładania elementu (Linsert, Rinsert) i usuwania elementu (Ldelete, Rdelete) mogą się odbywać z obu końców." Używasz czasem [link] <http://www.google.pl> ? 
[30.11.07, 21:33] kszana :  Czy przez "kolejkę dwustronną" mam rozumieć kolejkę, na którą mogę wkładać i ściągać z dwóch końców? 
[30.11.07, 21:08] Paczesiowa :  sahar zajrzyj na strone zs 
[30.11.07, 20:58] nyquist :  cokolwiek by nie robili, robili to krotko :P 
[30.11.07, 20:51] grapox :  Strasznie krótko się uczyli :P 
[30.11.07, 20:02] d* :  "Na forum przebywa 24 użytkowników" strasznie krótko pobalowali :P 
[30.11.07, 19:59] sahar :  ja odpoczywam po ciezkim tygodniu. Wie ktos co trzeba zrobic na funckjonalne w grupie ZS na nastepna pracownie? 
[30.11.07, 19:50] evans :  "Na forum przebywa 10 użytkowników" heh, wszyscy balują a reszta uczy się do połówki :/ 
[30.11.07, 18:52] fala :  *Dreamer_*! czemu zdjąłeś swoją stronę, nie mogę sobie o compizie poczytać :( 
[30.11.07, 18:29] Mr_C :  Okazało się, że nie Kindle, tylko Bookeen 
[30.11.07, 17:40] desp :  Co kupić pod choinkę Twojemu ulubionemu antyklerykałowi? [link] <http://gadgets.boingboing.net/2007/11/29/virgin-mary-flash-dr.html> 
[30.11.07, 15:55] Mr_C :  krótka historia ekologii na ziemiach wolskich [link] <http://wiadomosci.gazeta.pl/Wiadomosci/1,80273,4721805.html?skad=rss> 
[30.11.07, 12:23] desp :  No, tyczy się tego, co wkleił *revo*... ;) 
[30.11.07, 12:16] Mr_C :  Dzięki, przekażę, choć w większości tekst tyczy się tego konkretnego modelu, a nie wiem czy dokładnie taki on chce kupić. 
[30.11.07, 10:55] desp :  Może zanim zamówi, niech sobie przeczyta [link] <http://gadgets.boingboing.net/2007/11/19/amazon-kindle-ebook-1.html> 
[30.11.07, 3:08] rzezioo :  a ja jestem pod ogromnym wrazeniem uzytych technik marketingowych nic wiecej 
[30.11.07, 1:20] Mr_C :  Oj, coś do mnie jakieś przebąkiwania dotarły, że ta moda powoli do Polski dociera (znaczy się, pojawiło się zainteresowanie i pytają ludzie jak to zdobyć). Współlokator zamawia z rzeszy, to zdam relację ;) 
[29.11.07, 23:31] revo :  [link] <http://amazon.com/gp/product/B000FI73MA/> - szkoda, że nie żyjemy w cywilizacji i dla nas to niemal bezużyteczne (polecam obejrzenie filmiku) 
[29.11.07, 23:20] d* :  @ widać bez tej opcji też Ci się udaje niektóre rzeczy zignorować ;-) 
[29.11.07, 22:43] @ :  thnx eth 
[29.11.07, 22:17] eth :  @: w profilu sobie ustawiasz id ignorowanych działów 
[29.11.07, 21:55] pawlik :  jest, nazywa się mental ignore ;) 
[29.11.07, 21:42] @ :  fajna by była opcja ignorowania forum (np. styksu)... Może taka jest a ja nic nie wiem? 
[29.11.07, 21:00] kszana :  dzięki 
[29.11.07, 20:53] xberus :  ze strony: [link] <http://www.ii.uni.wroc.pl/cms/pl/node/804> 
[29.11.07, 20:51] xberus :  "Studenci studiów informatycznych mogą zapisać się na ten przedmiot formalnie poprzez prowadzącego i za jego zaliczenie uzyskać 2 punkty zaawansowane" 
[29.11.07, 20:46] kszana :  @Paczesiowa: ten miniwykład jest jakoś oceniany/punktowany? 
[29.11.07, 20:12] tumdum :  afair nie ma 
[29.11.07, 20:11] Paczesiowa :  ktos wie czy w 137 jest fuse i reszta bajerow potrzebna do gmailfs ? 
[29.11.07, 19:45] Paczesiowa :  zapisujcie się na miniwyklad o kontynuacjach 
[29.11.07, 19:24] d* :  @tumdum: ale to nie zmienia faktu, że to najgorszy styl użytkowy strony jaki kiedykolwiek widziałem :> 
[29.11.07, 19:15] Paczesiowa :  ja sobie potraktowalem shouta jak polaczenie skracacza linkow razem z pastebinem 
[29.11.07, 19:09] lispozord :  Ej, fakt. Nie zauważyłem tego z linkami, bo dokładnie wiedziałem czego szukam. :) 
[29.11.07, 18:48] tumdum :  d*: zapewne dlatego ze na ta strone trafiaja i tak tylko ci ktorzy wiedza dokladnie czego szukaja 
[29.11.07, 17:19] xberus :  Nie oddał jeszcze zadań domowych. 
[29.11.07, 17:18] sasik :  nie martw się, oddałem zadanie domowe, to może się trochę odbiję od dna ;) 
[29.11.07, 17:14] szuliq :  sasik zalicza logikę jednym punktem. dlaczego to nie jest smutne? ;] 
[29.11.07, 17:12] bko :  hmmm, a widzisz na pierwszy rzut oka gdzie jest jakiś link? 
[29.11.07, 17:07] lispozord :  Chodzi o kolory, czy pod tym hasłem kryje się coś głębszego? 
[29.11.07, 16:06] d* :  ...i najgorszy styl użytkowy strony jaki kiedykolwiek widziałem :o 
[29.11.07, 15:48] Paczesiowa :  [link] <http://www.cs.cmu.edu/~rwh/> jakies ebooki 
[29.11.07, 13:11] lispozord :  Pismaki zapomniały wspomnieć, że faceta znaleziono w miejscu pracy, ze złamanym kręgosłupem i połamanymi żebrami. Całkiem przypadkiem, jego miejsce pracy to kamieniołom. 
[29.11.07, 11:56] yanoo :  [link] <http://wiadomosci.gazeta.pl/Wiadomosci/1,80277,4717299.html> uważaj na swój telefon 
[29.11.07, 10:32] tumdum :  ciekawe czy tez bedziesz taki zadowolony jak wyjdziesz ostatni ;) 
[29.11.07, 7:35] Erotyczny :  nie ma jak krew z nosa ... 
[29.11.07, 7:31] roolin :  nie ma to jak być pierwszym w firmie ;) 
[28.11.07, 23:51] Mr_C :  Że też prostej melodii o ja*bo*lach baran nie umiał czysto zaśpiewać :/ 
[28.11.07, 23:21] ponton :  [link] <http://www.tvn24.pl/12691,1530309,wiadomosc.html> aż tyle wyemigrowało do UK? 
[28.11.07, 18:39] gaborek :  :/ 
[28.11.07, 18:31] qarol87 :  [link] <http://wiadomosci.o2.pl/?s=258&t=433370> nie ma to jak rodzice ;) 
[28.11.07, 18:25] rraptorr :  666 szatan rzecz jasna ;p 
[28.11.07, 18:22] Paczesiowa :  jaki szatan kufa? 
[28.11.07, 18:11] gaborek :  szatan, szatan, ooo... yeaaah 
[28.11.07, 17:36] d* :  biedny szatan... 
[28.11.07, 17:15] rraptorr :  No i już zepsuli szatana 
[28.11.07, 16:08] Erotyczny :  powiedz że ja mogę cię zastąpić 
[28.11.07, 16:08] rraptorr :  Szatan ]:> 
[28.11.07, 16:07] fala :  mój wykładowca był lekko zawiedziony, jak się dowiedział że wracam na przysły semestr do Polski i nie pomogę mu przy prowadzeniu Baz Danych 
[28.11.07, 15:59] fala :  kolejny powód by uczyć się języków! :D 
[28.11.07, 15:47] af :  i tak zamkniecie napisy.info to fake i prowokacja:> 
[28.11.07, 13:52] maver :  *sahar*: może się nie boi i może ominął. Nie wiem (nie chce mi się sprawdzać, ale na ile mi trochę przeczytanych kodeksów i nos mówią - wątpię), czy udostępnianie autorom napisów do filmów miejsca na stronie jest przestępstwem i jeśli (w co również wątpię) nie zwolnią go szybko i sprawa trafi do sądu, pewnie się wybroni bez większych probiemów. 
[28.11.07, 13:45] sahar :  pozdrowienia dla napisy.info. A jeszcze pare tygodni wlasciciel szczekal jak to się nie boi i ominal tam prawo jakos. Oczywiscie to bylo napisane w gazetce semestr czy jakos takj, co lezala u nas na ii 
[28.11.07, 13:33] maver :  Czy ktoś chciałby podzielić się zaproszeniem do thebox.bz? 
[28.11.07, 11:04] mona :  znowu 5 piw :D 
[28.11.07, 9:03] tumdum :  lmao! :D 
[28.11.07, 8:51] gaborek :  :D 
[28.11.07, 8:36] Erotyczny :  [link] <http://www.ii.uni.wroc.pl/~prz/img/prz/prz15.jpg> nie lękajcie się! 
[28.11.07, 2:59] orcus :  Czy tak trudne że nie można ich robić przy kompie? 
[28.11.07, 2:59] orcus :  Gdzie jest DX? Czyżby zadania z logiki były tak łatwe że już skończył? 
[28.11.07, 2:40] ponton :  Nie ma to jak robić wieś na forum i nie podawać swoich danych. Wstydzisz się, panie dagcośtam? ;) 
[28.11.07, 1:26] sasik :  Ja mam codziennie maraton z Dragon Balla, to cośtam mocy liznąłem, tylko trochę innej :P 
[28.11.07, 1:26] sasik :  d* - w sumie masz rację, za bardzo uogólniłem. 
[28.11.07, 1:24] bejnan :  Ej,może zrobimy po połówce z logiki maraton gwiezdnych wojen ? Tak a propos mocy... :P 
[28.11.07, 1:12] fala :  teczka jest? no to na taczkę! 
[28.11.07, 0:23] nyquist :  flood of blood in da lud 
[28.11.07, 0:17] Mr_C :  Zimnym wieczorem 24 listopada, po tym, jak rzeczony otrzymał kosza od kobiety, której personaliów nie udało się ustalić, wrócił do domu. Po zalogowaniu na forum około godziny 21ej postanowił wyładować swe frustracje na pierwszej napotkanej przedstawicielce płci odmiennej. Potem passa liści rozpętała się na dobre. Czy nasz bohater porzucił destrukcyjne plany? Czy q podjął sankcje? Czy forumowicze przedłożyli dyplomację nad nasilające się nawoływania do wojny? O tym przekonamy się w następnym odcinku Sensacji Forum. Na podstawie: [link] <http://ii.yebood.com/ebro.php?u1=&u2=daguerre&start=60> 
[28.11.07, 0:17] fala :  smutne. w zeszłych latach nie było takiego szczylstwa ;/ 
[28.11.07, 0:17] d* :  Niby czemu to jest argument za ich wyłączeniem? Czy to, że ktoś kogoś nożem zaszlachtował to argument za tym, żeby wycofać noże z użytku kuchennego? 
[28.11.07, 0:14] sasik :  "kryjcie się! daguerre robi nalot liściowy na tych, co nie lubią PMa ;)" to jest kolejny argument za wyłączeniem liści i browców. Ale publicznie nie napisze, bo mnie zliściujecie na amen :] 
[28.11.07, 0:10] Mr_C :  Nie zgadzam się, tylko mnie ma jeszcze do postawienia 1451 liści. 
[28.11.07, 0:08] Paczesiowa :  Spoleczna inicjatywa podziekuj q za bana dla PM i popros o nastepngo dla daqcostam 
[28.11.07, 0:01] Mr_C :  Pan Winston Wolf nawiązałby tutaj do lizania po pewnych organach 
[27.11.07, 23:59] Mr_C :  kryjcie się! daguerre robi nalot liściowy na tych, co nie lubią PMa ;) 
[27.11.07, 22:32] Siledhel :  nie, to się nawiasami robi 
[27.11.07, 22:31] kszana :  Dobra, działa, jeszcze samą frazę "match sth with" wciągnąłem pod nawias :) 
[27.11.07, 22:30] kszana :  Okrągłych, obejmujących te wszystkie dopasowania dla match with, ale sskładniowo coś nie tak było. 
[27.11.07, 22:29] q :  Próbowałeś nawiasów? 
[27.11.07, 22:26] kszana :  Jak w OCamlu ładnie napisać, żęby pattern-matching się nie krzyżował? Niezależnie od ilości tabulatorów, jak mam function z pałkami i przy którejś jeszcze match with, to dalsze pałki tej anonimowej funkcji traktuje mi, jakby miały być do match with. oO 
[27.11.07, 22:17] Paczesiowa :  o www reusability zapomnial 
[27.11.07, 22:13] d* :  Wystarczyłoby "lol z co-wtorku akapit od <<12.30>>", po co tyle do shouta? 
[27.11.07, 22:10] MasterOfDisaster :  Loooool: "12.30. (...)" 
[27.11.07, 22:02] BIGos :  znowu jest wtorek -> [link] <http://co-wtorek.salon24.pl/> 
[27.11.07, 18:46] lispozord :  [link] <http://pl.youtube.com/watch?v=oLte5f34ya8> - inne ciekawe zastosowania PS3 
[27.11.07, 17:46] Erotyczny :  żuraw, ale już nie mieszka, uprawnień nie ma , ale zawsze lubił grzebać 
[27.11.07, 16:56] nirvanka :  znacie kogoś kto ma uprawnienia do grzebania w szafce z prądem mieszkającego w Kredce? 
[27.11.07, 16:47] TotalFailure :  innowacyjne zastosowania PS3 [link] <http://gry.onet.pl/1648340,,PlayStation_3_marzeniem_hackera,wiadomosc.html>  
[27.11.07, 16:17] roolin :  no tak to jest ja się tylko nagłówki czyta... 
[27.11.07, 15:57] lispozord :  To chyba nie służyło do wlepiania mandatów? 
[27.11.07, 11:40] Edwin :  Dzisiaj nie będzie mandatów :D [link] <http://wiadomosci.onet.pl/1648235,11,item.html> 
[27.11.07, 11:04] yanoo :  a udław nim się 
[27.11.07, 11:03] weds :  śnieg, jupi :) 
[27.11.07, 10:25] gaborek :  ale was to kręci... 
[27.11.07, 9:57] Mr_C :  heh, w Tańcu z gazdami TVN zarobił 38 mln na reklamach, a Polska wydała na Expo 14 mln 
[27.11.07, 7:06] maver :  *Railman*: a żebyś wiedział. Idę odśnieżyć wyjazd :/ 
[27.11.07, 4:35] Erotyczny :  buahahahah [link] <http://youporn.com/watch/94716> TYLKO DLA DOROSłYCH 
[27.11.07, 2:24] Railman :  we wroclawiu zima zaskoczyla drogowcow 
[27.11.07, 2:04] pawlik :  Komus się tu wydaje, ze jest pepkiem swiata :o 
[27.11.07, 1:55] Mr_C :  Poświęcając dodatkowe 30sec panu *dsk*: grubo ponad miesiąc temu dwa razy nie godził się z opinią PM na temat języka polskiego, od tego czasu pan PM mu wisi (który w nowym wcieleniu nie może się pogodzić z okrutną prawdą). 
[27.11.07, 1:35] dsk :  Napisałbym, że jestem obojętny. Ale pisząc coś takiego straciłbym swoją obojętność, dlatego nie napiszę... :P 
[27.11.07, 1:15] xberus :  PM Morgoth... Tolkien tego by lepiej nie wymyślił... 
[27.11.07, 1:08] lispozord :  Mnie też się nie podoba ten ban. Dlatego, że liczyłem iż kolega PM zakończy swą karierę na tym forum z większą pompą, wiecie, podczas epickiej bitwy dobra ze złem: on by wszystkich wyzywał od kretynów, my dostawalibyśmy apopleksji i wtedy bohatersko nadjechałby q i zadał bestii śmiertelny cios! A tu takie coś. 
[27.11.07, 1:02] sasik :  Ja bym zaproponował usunięcie browców i liści, albo chociaż wyświetlania licznika pod avatarem, ale obawiam się, że moja różnica browców i iliści przekroczyłaby -milion. 
[27.11.07, 1:00] Sulej :  heh.. Opole, Opole, piękna okolica gdyby nie PM byłaby stolica ;) 
[27.11.07, 0:54] revo :  Hmm, kiedyś była propozycja o przycisk "zbanuj mnie na x godzin" (konkretnie nie pamiętam ile). Może zrobimy przycisk "zbanuj PM(cokolwiek) na kilka godzin", gdzie czas byłby losowany. Banujący byliby zapisywani w statystykach - zrobiłby się nowy sport. Jak by dobrze poszło, to z jego samozaparciem i z naszą determinacją za kilka lat może być z tego nawet dyscyplina olimpijska ;> 
[27.11.07, 0:41] BIGos :  ale i tak mi się nie podoba atmosfera linczu. Trzeba bylo banowac jak byly okazje, teraz to tak wyglada na troche "z nudow". Ale whatever... 
[27.11.07, 0:39] BIGos :  nie moge ;) 
[27.11.07, 0:37] BIGos :  moge zmienic na taki sam? 
[27.11.07, 0:35] roolin :  bo podał maila z sytemu zapisów? 
[27.11.07, 0:33] BIGos :  skad wiesz, ze to on? 
[27.11.07, 0:29] Mr_C :  czy kolega Metelski nie rozumie, jak się go po ludzku banuje? 
[27.11.07, 0:19] maver :  Porównuję myślenie zanim się coś zrobi do myślenia zanim się coś zrobi. Fakt, że takie rzeczy się zdarzają w muzułmańskich krajach nie jest tajny ani ukrywany i jestem przekonany, że choćby każdy przewodnik po danym kraju uczula na takie sytuacje w rozdziale o zwyczajach. 
[27.11.07, 0:18] xberus :  "Ostatnio zarejestrowana osoba: PM++", hmmm, nie powiem, avatar jest bardzo ciekawy :P 
[27.11.07, 0:16] roolin :  porównujesz znajomość prawa do dostanie w mordę w podłej dzielnicy? osz fak :O 
